rank,title,rating,votes,year,minutes,genre,gross
67,Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,7.8,468,2016,90.0,"Animation, Sport",
68,Ajin Part 2: Shoutotsu,7.8,535,2016,106.0,"Animation, Adventure, Horror",
69,Boruto: Naruto The Movie,7.8,"10,827",2015,95.0,"Animation, Action, Adventure",
70,Steins;Gate: The Movie - Load Region of Déjà Vu,7.8,"8,522",2013,90.0,"Animation, Mystery, Sci-Fi",
71,Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,7.8,"3,672",2013,116.0,"Animation, Drama, Fantasy",$0.38M
72,One Piece Film Z,7.8,"7,620",2012,108.0,"Animation, Action, Adventure",
73,Berserk: The Golden Age Arc III - The Advent,7.8,"10,499",2013,110.0,"Animation, Action, Adventure",
74,To the Forest of Firefly Lights,7.8,"18,614",2011,45.0,"Animation, Drama, Fantasy",
75,Jujutsu Kaisen 0: The Movie,7.8,"17,888",2021,112.0,"Animation, Action, Fantasy",$34.54M
76,Revival of Evangelion,7.8,260,1998,159.0,"Animation, Action, Drama",
77,High School Fleet the Movie,7.8,66,2020,105.0,"Animation, Action, Adventure",
78,Sword of the Stranger,7.8,"16,999",2007,103.0,"Animation, Action, Adventure",
79,My Hero Academia: Heroes Rising,7.8,"8,263",2019,104.0,"Animation, Action, Adventure",
80,Shining Star: The Birth of New Luna-Queen,7.8,38,2019,78.0,"Animation, Fantasy, Musical",
81,Made in Abyss: Wandering Twilight,7.8,788,2019,110.0,"Animation, Adventure, Fantasy",
82,Detective Conan: The Phantom of Baker Street,7.8,"3,228",2002,98.0,"Animation, Adventure, Drama",
83,Inochi no chikyuu: Daiokishin no natsu,7.8,19,2001,,Animation,
84,Tokyo Godfathers,7.8,"40,590",2003,92.0,"Animation, Adventure, Comedy",$0.13M
85,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,"14,744",2003,68.0,"Animation, Adventure, Music",
86,Cardcaptor Sakura: The Sealed Card,7.8,"1,642",2000,79.0,"Animation, Adventure, Comedy",
87,Millennium Actress,7.8,"28,376",2001,87.0,"Animation, Drama, Fantasy",$0.19M
88,Cowboy Bebop: The Movie,7.8,"49,122",2001,115.0,"Animation, Action, Crime",$1.00M
89,Ninja Scroll,7.8,"37,803",1993,94.0,"Animation, Action, Adventure",
90,Kiki's Delivery Service,7.8,"144,897",1989,103.0,"Animation, Adventure, Family",
91,Legend of the Galactic Heroes: My Conquest is the Sea of Stars,7.8,897,1988,60.0,"Animation, Action, Drama",
92,Mobile Suit Gundam: The Origin VI - Rise of the Red Comet,7.7,422,2018,84.0,"Animation, Action, Drama",
93,Princess Principal Crown Handler: Chapter 1,7.7,78,2021,54.0,"Animation, Action, Adventure",
94,Mobile Suit Gundam: The Origin V - Clash at Loum,7.7,392,2017,84.0,"Animation, Action, Drama",
95,Kuroko's Basketball: Last Game,7.7,"2,685",2017,91.0,"Animation, Drama, Sport",
96,Mobile Suit Gundam: The Origin IV - Eve of Destiny,7.7,462,2016,85.0,"Animation, Action, Drama",
97,Dou Kyu Sei: Classmates,7.7,"2,742",2016,60.0,"Animation, Drama, Music",
98,The Shimajiro Movie: Shimajiro in Bookland,7.7,25,2016,61.0,"Animation, Family",
99,In This Corner,7.7,"11,242",2016,129.0,"Animation, Drama, Family",
100,Asatte Dansu,7.7,10,1991,45.0,"Animation, Comedy, Romance",
